date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:22:07	112/112	------	200	untouched ('OK')	text/plain	date:Wed,%2007%20Sep%202022%2010:06:10%20GMT	https://thocaca.com/robots.txt		(from )
17:22:07	82515/82515	------	200	untouched ('OK')	text/html	date:Wed,%2007%20Sep%202022%2009:56:07%20GMT	https://thocaca.com/	D:/thocaca/thocaca/thocaca.com/index.html	(from )
17:22:07	50209/50209	------	404	error ('Not%20Found')	text/html	date:Wed,%2007%20Sep%202022%2010:06:22%20GMT	https://thocaca.com/OneSignalSDKUpdaterWorker.js	D:/thocaca/thocaca/thocaca.com/OneSignalSDKUpdaterWorker.12.delayed	(from https://thocaca.com/)
17:22:07	5842/5842	------	200	untouched ('OK')	text/html	date:Wed,%2007%20Sep%202022%2010:06:12%20GMT	https://gmpg.org/xfn/11	D:/thocaca/thocaca/gmpg.org/xfn/11.html	(from https://thocaca.com/)
17:22:07	168233/168233	------	200	untouched ('')	text/javascript	etag:10224350374986605569	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	D:/thocaca/thocaca/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://thocaca.com/)
17:22:07	171/171	------	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2007%20Sep%202022%2010:06:14%20GMT	http://s7.addthis.com/	D:/thocaca/thocaca/s7.addthis.com/index.html	(from https://thocaca.com/)
17:22:07	1611/1611	------	404	error ('Not%20Found')	text/html	date:Wed,%2007%20Sep%202022%2010:06:14%20GMT	http://fonts.googleapis.com/	D:/thocaca/thocaca/fonts.googleapis.com/index.html	(from https://thocaca.com/)
17:22:07	50209/50209	------	404	error ('Not%20Found')	text/html	date:Wed,%2007%20Sep%202022%2010:06:23%20GMT	https://thocaca.com/OneSignalSDKWorker.js	D:/thocaca/thocaca/thocaca.com/OneSignalSDKWorker.13.delayed	(from https://thocaca.com/)
17:22:07	86682/86682	------	200	untouched ('OK')	text/html	date:Wed,%2007%20Sep%202022%2010:06:14%20GMT	http://s.w.org/	D:/thocaca/thocaca/s.w.org/index.html	(from https://thocaca.com/)
17:22:07	37035/37035	------	200	untouched ('')	application/rss+xml	etag:%22d7d255172a2262770257c4be34a755fa%22	https://thocaca.com/feed/	D:/thocaca/thocaca/thocaca.com/feed/index.html	(from https://thocaca.com/)
17:22:07	10597/10597	------	200	untouched ('')	application/rss+xml	etag:%2213b93f64aed6f970f41a97770a145d54%22	https://thocaca.com/comments/feed/	D:/thocaca/thocaca/thocaca.com/comments/feed/index.html	(from https://thocaca.com/)
17:22:07	53907/53907	------	200	untouched ('OK')	text/css	date:Wed,%2028%20Oct%202020%2019:03:47%20GMT	https://thocaca.com/wp-includes/css/dist/block-library/style.min.css?ver=5.5.10	D:/thocaca/thocaca/thocaca.com/wp-includes/css/dist/block-library/style.min0225.css	(from https://thocaca.com/)
17:22:07	25/25	------	200	untouched ('OK')	text/plain	etag:%227f564a4-19-3ef0a6a1b08c0%22	https://gmpg.org/robots.txt		(from https://thocaca.com/)
17:22:07	1672/1672	------	200	untouched ('OK')	text/css	date:Tue,%2014%20Dec%202021%2010:55:41%20GMT	https://thocaca.com/wp-content/plugins/wordpress-popular-posts/assets/css/wpp.css?ver=5.5.0	D:/thocaca/thocaca/thocaca.com/wp-content/plugins/wordpress-popular-posts/assets/css/wppdeba.css	(from https://thocaca.com/)
17:22:07	987/987	------	200	untouched ('OK')	text/css	date:Wed,%2007%20Sep%202022%2010:06:14%20GMT	https://fonts.googleapis.com/css?family=Open+Sans:400,400italic,700,600	D:/thocaca/thocaca/fonts.googleapis.com/css72e0.css	(from https://thocaca.com/)
17:22:07	45553/45553	------	200	untouched ('OK')	text/css	date:Thu,%2009%20Jan%202020%2007:44:02%20GMT	https://thocaca.com/wp-content/themes/mh-magazine-lite/style.css?ver=2.8.6	D:/thocaca/thocaca/thocaca.com/wp-content/themes/mh-magazine-lite/styled2b8.css	(from https://thocaca.com/)
17:22:07	31000/31000	------	200	untouched ('OK')	text/css	date:Thu,%2009%20Jan%202020%2007:44:02%20GMT	https://thocaca.com/wp-content/themes/mh-magazine-lite/includes/font-awesome.min.css	D:/thocaca/thocaca/thocaca.com/wp-content/themes/mh-magazine-lite/includes/font-awesome.min.css	(from https://thocaca.com/)
17:22:07	587/587	------	200	untouched ('OK')	text/css	date:Thu,%2009%20Jan%202020%2009:07:04%20GMT	https://thocaca.com/wp-content/plugins/addthis/frontend/build/addthis_wordpress_public.min.css?ver=5.5.10	D:/thocaca/thocaca/thocaca.com/wp-content/plugins/addthis/frontend/build/addthis_wordpress_public.min0225.css	(from https://thocaca.com/)
17:22:07	11905/11905	------	200	untouched ('')	application/javascript	date:Thu,%2016%20Dec%202021%2000:04:50%20GMT	https://thocaca.com/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend-gtag.min.js?ver=8.3.0	D:/thocaca/thocaca/thocaca.com/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend-gtag.min9662.js	(from https://thocaca.com/)
17:22:07	3011/3011	------	200	untouched ('')	application/javascript	date:Tue,%2014%20Dec%202021%2010:55:41%20GMT	https://thocaca.com/wp-content/plugins/wordpress-popular-posts/assets/js/wpp.min.js?ver=5.5.0	D:/thocaca/thocaca/thocaca.com/wp-content/plugins/wordpress-popular-posts/assets/js/wpp.mindeba.js	(from https://thocaca.com/)
17:22:07	96873/96873	------	200	untouched ('')	application/javascript	date:Fri,%2017%20May%202019%2009:55:54%20GMT	https://thocaca.com/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	D:/thocaca/thocaca/thocaca.com/wp-includes/js/jquery/jquery4a5f.js	(from https://thocaca.com/)
17:22:07	171/171	------	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2007%20Sep%202022%2010:06:52%20GMT	http://s7.addthis.com/robots.txt		(from https://thocaca.com/)
17:22:07	30920/30920	------	200	untouched ('')	application/javascript	date:Thu,%2009%20Jan%202020%2007:44:02%20GMT	https://thocaca.com/wp-content/themes/mh-magazine-lite/js/scripts.js?ver=2.8.6	D:/thocaca/thocaca/thocaca.com/wp-content/themes/mh-magazine-lite/js/scriptsd2b8.js	(from https://thocaca.com/)
17:22:07	361292/361292	------	200	untouched ('')	application/javascript	etag:%225f971164-5834c%22	https://s7.addthis.com/js/300/addthis_widget.js?ver=5.5.10	D:/thocaca/thocaca/s7.addthis.com/js/300/addthis_widget0225.js	(from https://thocaca.com/)
17:22:07	110506/110506	------	200	untouched ('')	application/json	date:Wed,%2007%20Sep%202022%2010:06:16%20GMT	https://thocaca.com/wp-json/	D:/thocaca/thocaca/thocaca.com/wp-json/index.html	(from https://thocaca.com/)
17:22:07	1650/1650	------	200	untouched ('')	application/json	date:Wed,%2007%20Sep%202022%2010:06:16%20GMT	https://thocaca.com/wp-json/wp/v2/pages/10	D:/thocaca/thocaca/thocaca.com/wp-json/wp/v2/pages/10.json	(from https://thocaca.com/)
17:22:07	780/780	------	200	untouched ('')	text/xml	date:Wed,%2007%20Sep%202022%2010:06:18%20GMT	https://thocaca.com/xmlrpc.php?rsd	D:/thocaca/thocaca/thocaca.com/xmlrpc0db0.php	(from https://thocaca.com/)
17:22:07	1045/1045	------	200	untouched ('')	application/xml	date:Thu,%2012%20Dec%202013%2001:19:12%20GMT	https://thocaca.com/wp-includes/wlwmanifest.xml	D:/thocaca/thocaca/thocaca.com/wp-includes/wlwmanifest.xml	(from https://thocaca.com/)
17:22:07	2301/2301	------	200	untouched ('')	application/json	date:Wed,%2007%20Sep%202022%2010:06:19%20GMT	https://thocaca.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fthocaca.com%2F	D:/thocaca/thocaca/thocaca.com/wp-json/oembed/1.0/embed72ce.json	(from https://thocaca.com/)
17:22:07	2418/2418	------	200	untouched ('')	text/xml	date:Wed,%2007%20Sep%202022%2010:06:21%20GMT	https://thocaca.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fthocaca.com%2F&format=xml	D:/thocaca/thocaca/thocaca.com/wp-json/oembed/1.0/embed4167	(from https://thocaca.com/)
17:22:07	51/51	------	200	untouched ('OK')	text/plain	date:Wed,%2007%20Sep%202022%2010:06:55%20GMT	http://fonts.googleapis.com/robots.txt		(from https://thocaca.com/)
17:22:07	188/188	------	200	untouched ('OK')	text/html	date:Tue,%2003%20Aug%202021%2014:07:54%20GMT	https://thocaca.com/wp-content/plugins/onesignal-free-web-push-notifications/sdk_files/	D:/thocaca/thocaca/thocaca.com/wp-content/plugins/onesignal-free-web-push-notifications/sdk_files/index.html	(from https://thocaca.com/)
17:22:07	109144/109144	------	200	untouched ('')	image/jpeg	date:Thu,%2009%20Jan%202020%2007:46:40%20GMT	https://thocaca.com/wp-content/uploads/2020/01/background.jpg	D:/thocaca/thocaca/thocaca.com/wp-content/uploads/2020/01/background.jpg	(from https://thocaca.com/)
17:22:07	1985/1985	------	200	untouched ('')	image/png	date:Thu,%2009%20Jan%202020%2009:04:16%20GMT	https://thocaca.com/wp-content/uploads/2020/01/cropped-logo-2-32x32.png	D:/thocaca/thocaca/thocaca.com/wp-content/uploads/2020/01/cropped-logo-2-32x32.png	(from https://thocaca.com/)
17:22:07	29498/29498	------	200	untouched ('')	image/png	date:Thu,%2009%20Jan%202020%2009:04:16%20GMT	https://thocaca.com/wp-content/uploads/2020/01/cropped-logo-2-192x192.png	D:/thocaca/thocaca/thocaca.com/wp-content/uploads/2020/01/cropped-logo-2-192x192.png	(from https://thocaca.com/)
17:22:07	26938/26938	------	200	untouched ('')	image/png	date:Thu,%2009%20Jan%202020%2009:04:16%20GMT	https://thocaca.com/wp-content/uploads/2020/01/cropped-logo-2-180x180.png	D:/thocaca/thocaca/thocaca.com/wp-content/uploads/2020/01/cropped-logo-2-180x180.png	(from https://thocaca.com/)
17:22:07	102812/102812	------	200	untouched ('OK')	application/x-javascript	date:Wed,%2007%20Sep%202022%2010:06:26%20GMT	https://connect.facebook.net/en_US/fbevents.js	D:/thocaca/thocaca/connect.facebook.net/en_US/fbevents.js	(from https://thocaca.com/)
17:22:07	44/44	------	200	untouched ('')	image/gif	date:Fri,%2021%20Dec%202012%2000:00:01%20GMT	https://www.facebook.com/tr?id=641436176421884&ev=PageView&noscript=1	D:/thocaca/thocaca/www.facebook.com/tr92f3.gif	(from https://thocaca.com/)
17:22:07	27083/27083	------	200	untouched ('')	image/png	date:Thu,%2009%20Jan%202020%2007:45:56%20GMT	https://thocaca.com/wp-content/uploads/2020/01/cropped-logo.png	D:/thocaca/thocaca/thocaca.com/wp-content/uploads/2020/01/cropped-logo.png	(from https://thocaca.com/)
17:22:07	24/24	------	200	untouched ('OK')	text/plain	date:Wed,%2007%20Sep%202022%2010:06:56%20GMT	http://s.w.org/robots.txt		(from https://thocaca.com/)
17:22:07	101155/101155	------	200	untouched ('OK')	text/html	date:Wed,%2007%20Sep%202022%2010:00:53%20GMT	https://thocaca.com/blog/category/kinh-nghiem/	D:/thocaca/thocaca/thocaca.com/blog/category/kinh-nghiem/index.html	(from https://thocaca.com/)
17:22:07	100900/100900	------	200	untouched ('OK')	text/html	date:Wed,%2007%20Sep%202022%2010:06:26%20GMT	https://thocaca.com/blog/category/review-truong-lop/	D:/thocaca/thocaca/thocaca.com/blog/category/review-truong-lop/index.html	(from https://thocaca.com/)
17:22:07	99936/99936	------	200	untouched ('OK')	text/html	date:Wed,%2007%20Sep%202022%2010:06:27%20GMT	https://thocaca.com/blog/category/tai-lieu/	D:/thocaca/thocaca/thocaca.com/blog/category/tai-lieu/index.html	(from https://thocaca.com/)
17:22:07	100290/100290	------	200	untouched ('OK')	text/html	date:Wed,%2007%20Sep%202022%2010:05:04%20GMT	https://thocaca.com/blog/category/de-thi/	D:/thocaca/thocaca/thocaca.com/blog/category/de-thi/index.html	(from https://thocaca.com/)
